pieni suuri
pitkä lyhyt
helppo vaikea
iloinen surullinen
ruma kaunis
kylmä kuuma
kylmä lämmin
musta valkoinen
tumma vaalea
pimeä valoisa
hyvä huono
hyvä paha
oikea väärä
oikea vasen
vanha uusi
vanha nuori
sairas terve
oma vieras
kova pehmeä
sileä karhea
heikko vahva
hidas nopea
halpa kallis
kevyt raskas
tyhjä täysi
kapea leveä
tuttu outo
tyhmä viisas
tuhma kiltti
rikas köyhä
laiska ahkera
ylpeä nöyrä
rohkea arka
lihava laiha
paksu ohut
kuiva märkä
puhdas likainen
siisti sotkuinen
matala korkea
matala syvä
edellinen seuraava
entinen nykyinen
nälkäinen kylläinen
tehokas tehoton
asiallinen asiaton
levollinen levoton
onnellinen onneton
rauhallinen rauhaton
syyllinen syytön
samanlainen erilainen
yksinkertainen monimutkainen
miellyttävä epämiellyttävä
normaali epänormaali
rehellinen epärehellinen
reilu epäreilu
tasainen epätasainen
tosi epätosi
ystävällinen epäystävällinen
hiljainen kovaääninen
ahdas tilava
valmis keskeneräinen
vaarallinen turvallinen
yksityinen julkinen
yksityinen yleinen
yleinen harvinainen
ruumiillinen henkinen
juoppo raitis
rikkinäinen ehjä
avoin suljettu
villi kesy
julma lempeä
kirkas himmeä
pyöreä litteä
kypsä raaka
elävä kuollut
karvas makea
