ei kyllä
hyvin huonosti
nopeasti hitaasti
sama eri
oikein väärin
oikealle vasemmalle
eteen taakse
edessä takana
edellä perässä
ylös alas
yli ali
yli vaille
päällä alla
päälle alle
päälle pois
kiinni auki
kiinni irti
sisään ulos
sisällä ulkona
kaukana lähellä
kauas lähelle
ilman kanssa
läsnä poissa
paljon vähän
enemmän vähemmän
aikaisin myöhään
ajoissa myöhässä
ennen nyt
ennen jälkeen
eilen huomenna
jos ellei
valitettavasti onneksi
terve hyvästi
puolesta vastaan
puolet kokonaan
yksin yhdessä
pitkin poikin
ja eikä
