Ei oppi;ojaan kaada.
Kertaus on;opintojen äiti.
On taottava,;kun rauta on kuumaa.
Vierivä kivi;ei sammaloidu.
Hätä ei;lue lakia.
Kyllä hätä;keinot keksii.
Älä heitä;kirvestä kaivoon!
Ei savua;ilman tulta.
Puurot ja vellit;sekaisin.
Odotan kuin;kuuta nousevaa.
Odottavan aika;on pitkä.
Pitkä kuin;nälkävuosi.
Suo siellä,;vetelä täällä.
Jouduin ojasta;allikkoon.
Menee se;viisaskin vipuun.
yrittänyttä ei;laiteta.
Vuoroin;vieraissa käydään.
Rakkaalla lapsella on;monta nimeä.
Lyhyestä;virsi kaunis.
Ota lusikka;kauniiseen käteen.
Se on menneen;talven lumia.
Sakissa tyhmyys;tiivistyy.
Tyhjästä on;paha nyhjäistä.
Paljon puheita,;vähän villoja.
Meni syteen;tai saveen!
Paistaa se päivä;risukasaankin.
Sataa kuin;saavista kaataen.
Älä mene merta;edemmäs kalaan.
Vakka kantensa;valitsee.
Nyt on;piru merrassa!
Jos antaa pirulle pikkusormen,;se vie koko käden.
Lukee kuin;piru Raamattua.
Haihtui kuin;tuhka tuuleen.
Löytyy kuin;apteekin hyllyltä.
Toimii kuin;junan vessa.
Moni kakku;päältä kaunis.
Ei kahta;ilman kolmatta.
Kaksin aina;kaunihimpi.
Oma maa mansikka,;muu maa mustikka.
Oma koti;kullan kallis.
Ole tarkkana;kuin porkkana!
Turha on potkia;tutkainta vastaan.
Menee kuin;kuumille kiville.
Se tuli kuin salama;kirkkaalta taivaalta.
Vapaa kuin;taivaan lintu.
Sammuu kuin;saunalyhty.
Sekaisin kuin;seinäkello.
Hiljaa kuin;huopatossutehtaassa.
Vaikenen kuin;muuri.
Helppoa kuin;heinänteko!
Vapisee kuin;haavan lehti.
Lentää kuin;leppäkeihäs.
Pois tieltä risut ja;männynkävyt!
Sitä kuusta kuuleminen,;jonka juurella asut.
Joka kuuseen kurkottaa,;se katajaan kapsahtaa.
Joka keitetyn paistaa,;se makean maistaa.
Mikä laulaen tulee,;se viheltäen menee.
Parempi pyy pivossa;kuin kymmenen oksalla.
Parempi virsta väärää;kuin vaaksa vaaraa.
Parempi vara;kuin vahinko.
Ei vara;venettä kaada.
Vanhassa vara;parempi.
Vanha konsti on parempi;kuin pussillinen uusia.
Ympäri mennään;ja yhteen tullaan!
Ei pääse yli;eikä ympäri.
Tulee lunta tupaan;ja jäitä porstuaan.
Aamu on;iltaa viisaampi.
Ei kukaan ole;seppä syntyessään.
Ihminen on oman;onnensa seppä.
Ahkeruus;kovankin onnen voittaa.
Ylpeys käy;lankeamuksen edellä.
Mitä isot edellä,;sitä pienet perässä.
Kateus vie;kalatkin vedestä.
Joka vanhoja muistaa,;sitä tikulla silmään!
Silmä silmästä,;hammas hampaasta.
Pienillä padoillakin;on korvat.
Eivät suuret sanat;suuta halkaise.
