alku loppu
aamu ilta
päivä yö
kesä talvi
syksy kevät
pohjoinen etelä
itä länsi
tuli vesi
maa taivas
lattia katto
mies nainen
mies vaimo
poika tyttö
poika tytär
veli sisar
isä äiti
herra rouva
setä täti
vaari mummi
ukko akka
ihminen eläin
lapsi aikuinen
ystävä vihollinen
rosvo poliisi
pomo alainen
opettaja oppilas
lääkäri potilas
kissa hiiri
arki juhla
hyöty haitta
kaupunki maaseutu
lukko avain
suru ilo
viha rakkaus
palkinto rangaistus
sota rauha
valhe totuus
sielu ruumis
elämä kuolema
valo pimeys
vuori laakso
haju tuoksu
sopu riita
oikeus vääryys
oikeus velvollisuus
helle pakkanen
sääntö poikkeus
kysymys vastaus
vatsa selkä
sade pouta
