kysyä vastata
alkaa loppua
aloittaa lopettaa
antaa ottaa
antaa pyytää
tulla mennä
lähteä jäädä
lähteä saapua
tuoda viedä
vetää työntää
etsiä löytää
kadota löytyä
sulkea avata
päästä joutua
myöntää kieltää
nukkua valvoa
iloita surra
itkeä nauraa
säästää tuhlata
puhua vaieta
elää kuolla
sairastua parantua
muistaa unohtaa
vihata rakastaa
ostaa myydä
koota purkaa
pukea riisua
tuoksua haista
käskeä totella
sallia kieltää
nostaa laskea
syttyä sammua
sytyttää sammuttaa
irrottaa kiinnittää
onnistua epäonnistua
uskoa epäillä
opettaa oppia
jäätyä sulaa
vahvistaa heikentää
lisätä vähentää
siivota sotkea
kastella kuivata
täyttää tyhjentää
kehua haukkua
nauttia kärsiä
voittaa hävitä
riidellä sopia
hyökätä puolustautua
väsyä levätä
saavuttaa menettää
